X	Y	Z
-3	-3	3.54611E-10
-3	-2.9	1.01223E-09
-3	-2.8	2.78846E-09
-3	-2.7	7.41323E-09
-3	-2.6	1.90199E-08
-3	-2.5	4.70944E-08
-3	-2.4	1.12535E-07
-3	-2.3	2.59517E-07
-3	-2.2	5.77565E-07
-3	-2.1	1.2405E-06
-3	-2	2.57127E-06
-3	-1.9	5.14349E-06
-3	-1.8	9.9295E-06
-3	-1.7	1.84993E-05
-3	-1.6	3.32615E-05
-3	-1.5	5.77146E-05
-3	-1.4	9.66471E-05
-3	-1.3	0.000156189
-3	-1.2	0.000243596
-3	-1.1	0.000366647
-3	-1	0.00053258
-3	-0.9	0.000746586
-3	-0.8	0.001010027
-3	-0.7	0.001318697
-3	-0.6	0.001661557
-3	-0.5	0.002020431
-3	-0.4	0.002370998
-3	-0.3	0.0026852
-3	-0.2	0.002934814
-3	-0.1	0.003095587
-3	0	0.003151111
-3	0.1	0.003095587
-3	0.2	0.002934814
-3	0.3	0.0026852
-3	0.4	0.002370998
-3	0.5	0.002020431
-3	0.6	0.001661557
-3	0.7	0.001318697
-3	0.8	0.001010027
-3	0.9	0.000746586
-3	1	0.00053258
-3	1.1	0.000366647
-3	1.2	0.000243596
-3	1.3	0.000156189
-3	1.4	9.66471E-05
-3	1.5	5.77146E-05
-3	1.6	3.32615E-05
-3	1.7	1.84993E-05
-3	1.8	9.9295E-06
-3	1.9	5.14349E-06
-3	2	2.57127E-06
-3	2.1	1.2405E-06
-3	2.2	5.77565E-07
-3	2.3	2.59517E-07
-3	2.4	1.12535E-07
-3	2.5	4.70944E-08
-3	2.6	1.90199E-08
-3	2.7	7.41323E-09
-3	2.8	2.78846E-09
-3	2.9	1.01223E-09
-3	3	3.54611E-10
-2.9	-3	5.17299E-10
-2.9	-2.9	1.47662E-09
-2.9	-2.8	4.06774E-09
-2.9	-2.7	1.08143E-08
-2.9	-2.6	2.77459E-08
-2.9	-2.5	6.87004E-08
-2.9	-2.4	1.64164E-07
-2.9	-2.3	3.78578E-07
-2.9	-2.2	8.4254E-07
-2.9	-2.1	1.80961E-06
-2.9	-2	3.75091E-06
-2.9	-1.9	7.50322E-06
-2.9	-1.8	1.4485E-05
-2.9	-1.7	2.69864E-05
-2.9	-1.6	4.85211E-05
-2.9	-1.5	8.41929E-05
-2.9	-1.4	0.000140987
-2.9	-1.3	0.000227845
-2.9	-1.2	0.000355353
-2.9	-1.1	0.000534857
-2.9	-1	0.000776916
-2.9	-0.9	0.001089104
-2.9	-0.8	0.001473407
-2.9	-0.7	0.001923688
-2.9	-0.6	0.002423845
-2.9	-0.5	0.002947363
-2.9	-0.4	0.003458762
-2.9	-0.3	0.003917114
-2.9	-0.2	0.004281246
-2.9	-0.1	0.004515778
-2.9	0	0.004596776
-2.9	0.1	0.004515778
-2.9	0.2	0.004281246
-2.9	0.3	0.003917114
-2.9	0.4	0.003458762
-2.9	0.5	0.002947363
-2.9	0.6	0.002423845
-2.9	0.7	0.001923688
-2.9	0.8	0.001473407
-2.9	0.9	0.001089104
-2.9	1	0.000776916
-2.9	1.1	0.000534857
-2.9	1.2	0.000355353
-2.9	1.3	0.000227845
-2.9	1.4	0.000140987
-2.9	1.5	8.41929E-05
-2.9	1.6	4.85211E-05
-2.9	1.7	2.69864E-05
-2.9	1.8	1.4485E-05
-2.9	1.9	7.50322E-06
-2.9	2	3.75091E-06
-2.9	2.1	1.80961E-06
-2.9	2.2	8.4254E-07
-2.9	2.3	3.78578E-07
-2.9	2.4	1.64164E-07
-2.9	2.5	6.87004E-08
-2.9	2.6	2.77459E-08
-2.9	2.7	1.08143E-08
-2.9	2.8	4.06774E-09
-2.9	2.9	1.47662E-09
-2.9	3	5.17299E-10
-2.8	-3	7.45027E-10
-2.8	-2.9	2.12666E-09
-2.8	-2.8	5.85847E-09
-2.8	-2.7	1.5575E-08
-2.8	-2.6	3.99604E-08
-2.8	-2.5	9.89441E-08
-2.8	-2.4	2.36433E-07
-2.8	-2.3	5.45237E-07
-2.8	-2.2	1.21345E-06
-2.8	-2.1	2.60625E-06
-2.8	-2	5.40216E-06
-2.8	-1.9	1.08063E-05
-2.8	-1.8	2.08616E-05
-2.8	-1.7	3.88665E-05
-2.8	-1.6	6.98814E-05
-2.8	-1.5	0.000121257
-2.8	-1.4	0.000203053
-2.8	-1.3	0.000328148
-2.8	-1.2	0.000511788
-2.8	-1.1	0.000770315
-2.8	-1	0.001118935
-2.8	-0.9	0.001568556
-2.8	-0.8	0.002122039
-2.8	-0.7	0.002770545
-2.8	-0.6	0.003490885
-2.8	-0.5	0.004244868
-2.8	-0.4	0.004981399
-2.8	-0.3	0.005641529
-2.8	-0.2	0.006165961
-2.8	-0.1	0.006503739
-2.8	0	0.006620395
-2.8	0.1	0.006503739
-2.8	0.2	0.006165961
-2.8	0.3	0.005641529
-2.8	0.4	0.004981399
-2.8	0.5	0.004244868
-2.8	0.6	0.003490885
-2.8	0.7	0.002770545
-2.8	0.8	0.002122039
-2.8	0.9	0.001568556
-2.8	1	0.001118935
-2.8	1.1	0.000770315
-2.8	1.2	0.000511788
-2.8	1.3	0.000328148
-2.8	1.4	0.000203053
-2.8	1.5	0.000121257
-2.8	1.6	6.98814E-05
-2.8	1.7	3.88665E-05
-2.8	1.8	2.08616E-05
-2.8	1.9	1.08063E-05
-2.8	2	5.40216E-06
-2.8	2.1	2.60625E-06
-2.8	2.2	1.21345E-06
-2.8	2.3	5.45237E-07
-2.8	2.4	2.36433E-07
-2.8	2.5	9.89441E-08
-2.8	2.6	3.99604E-08
-2.8	2.7	1.5575E-08
-2.8	2.8	5.85847E-09
-2.8	2.9	2.12666E-09
-2.8	3	7.45027E-10
-2.7	-3	1.05936E-09
-2.7	-2.9	3.02392E-09
-2.7	-2.8	8.3302E-09
-2.7	-2.7	2.21462E-08
-2.7	-2.6	5.682E-08
-2.7	-2.5	1.40689E-07
-2.7	-2.4	3.36186E-07
-2.7	-2.3	7.75278E-07
-2.7	-2.2	1.72541E-06
-2.7	-2.1	3.70584E-06
-2.7	-2	7.68138E-06
-2.7	-1.9	1.53656E-05
-2.7	-1.8	2.96633E-05
-2.7	-1.7	5.52646E-05
-2.7	-1.6	9.9365E-05
-2.7	-1.5	0.000172416
-2.7	-1.4	0.000288723
-2.7	-1.3	0.000466597
-2.7	-1.2	0.000727716
-2.7	-1.1	0.001095317
-2.7	-1	0.001591023
-2.7	-0.9	0.002230343
-2.7	-0.8	0.003017346
-2.7	-0.7	0.003939462
-2.7	-0.6	0.004963718
-2.7	-0.5	0.006035813
-2.7	-0.4	0.007083092
-2.7	-0.3	0.008021735
-2.7	-0.2	0.008767428
-2.7	-0.1	0.009247717
-2.7	0	0.009413591
-2.7	0.1	0.009247717
-2.7	0.2	0.008767428
-2.7	0.3	0.008021735
-2.7	0.4	0.007083092
-2.7	0.5	0.006035813
-2.7	0.6	0.004963718
-2.7	0.7	0.003939462
-2.7	0.8	0.003017346
-2.7	0.9	0.002230343
-2.7	1	0.001591023
-2.7	1.1	0.001095317
-2.7	1.2	0.000727716
-2.7	1.3	0.000466597
-2.7	1.4	0.000288723
-2.7	1.5	0.000172416
-2.7	1.6	9.9365E-05
-2.7	1.7	5.52646E-05
-2.7	1.8	2.96633E-05
-2.7	1.9	1.53656E-05
-2.7	2	7.68138E-06
-2.7	2.1	3.70584E-06
-2.7	2.2	1.72541E-06
-2.7	2.3	7.75278E-07
-2.7	2.4	3.36186E-07
-2.7	2.5	1.40689E-07
-2.7	2.6	5.682E-08
-2.7	2.7	2.21462E-08
-2.7	2.8	8.3302E-09
-2.7	2.9	3.02392E-09
-2.7	3	1.05936E-09
-2.6	-3	1.48716E-09
-2.6	-2.9	4.24505E-09
-2.6	-2.8	1.16941E-08
-2.6	-2.7	3.10894E-08
-2.6	-2.6	7.97653E-08
-2.6	-2.5	1.97503E-07
-2.6	-2.4	4.71947E-07
-2.6	-2.3	1.08835E-06
-2.6	-2.2	2.42218E-06
-2.6	-2.1	5.20235E-06
-2.6	-2	1.07833E-05
-2.6	-1.9	2.15706E-05
-2.6	-1.8	4.16421E-05
-2.6	-1.7	7.75818E-05
-2.6	-1.6	0.000139491
-2.6	-1.5	0.000242042
-2.6	-1.4	0.000405316
-2.6	-1.3	0.00065502
-2.6	-1.2	0.001021585
-2.6	-1.1	0.001537633
-2.6	-1	0.002233517
-2.6	-0.9	0.003131009
-2.6	-0.8	0.004235822
-2.6	-0.7	0.005530311
-2.6	-0.6	0.006968186
-2.6	-0.5	0.008473217
-2.6	-0.4	0.009943408
-2.6	-0.3	0.011261095
-2.6	-0.2	0.012307912
-2.6	-0.1	0.01298215
-2.6	0	0.013215006
-2.6	0.1	0.01298215
-2.6	0.2	0.012307912
-2.6	0.3	0.011261095
-2.6	0.4	0.009943408
-2.6	0.5	0.008473217
-2.6	0.6	0.006968186
-2.6	0.7	0.005530311
-2.6	0.8	0.004235822
-2.6	0.9	0.003131009
-2.6	1	0.002233517
-2.6	1.1	0.001537633
-2.6	1.2	0.001021585
-2.6	1.3	0.00065502
-2.6	1.4	0.000405316
-2.6	1.5	0.000242042
-2.6	1.6	0.000139491
-2.6	1.7	7.75818E-05
-2.6	1.8	4.16421E-05
-2.6	1.9	2.15706E-05
-2.6	2	1.07833E-05
-2.6	2.1	5.20235E-06
-2.6	2.2	2.42218E-06
-2.6	2.3	1.08835E-06
-2.6	2.4	4.71947E-07
-2.6	2.5	1.97503E-07
-2.6	2.6	7.97653E-08
-2.6	2.7	3.10894E-08
-2.6	2.8	1.16941E-08
-2.6	2.9	4.24505E-09
-2.6	3	1.48716E-09
-2.5	-3	2.06115E-09
-2.5	-2.9	5.88352E-09
-2.5	-2.8	1.62077E-08
-2.5	-2.7	4.30889E-08
-2.5	-2.6	1.10552E-07
-2.5	-2.5	2.73733E-07
-2.5	-2.4	6.54104E-07
-2.5	-2.3	1.50843E-06
-2.5	-2.2	3.35706E-06
-2.5	-2.1	7.2103E-06
-2.5	-2	1.49453E-05
-2.5	-1.9	2.98962E-05
-2.5	-1.8	5.77146E-05
-2.5	-1.7	0.000107526
-2.5	-1.6	0.00019333
-2.5	-1.5	0.000335463
-2.5	-1.4	0.000561755
-2.5	-1.3	0.000907838
-2.5	-1.2	0.001415886
-2.5	-1.1	0.002131113
-2.5	-1	0.003095587
-2.5	-0.9	0.004339483
-2.5	-0.8	0.00587072
-2.5	-0.7	0.007664841
-2.5	-0.6	0.009657689
-2.5	-0.5	0.011743609
-2.5	-0.4	0.01378124
-2.5	-0.3	0.015607499
-2.5	-0.2	0.017058339
-2.5	-0.1	0.0179928
-2.5	0	0.018315526
-2.5	0.1	0.0179928
-2.5	0.2	0.017058339
